#gene_symbol	NM_ID
A2M	NM_000014.4
A4GALT	NM_017436.4
A4GNT	NM_016161.2
AAAS	NM_015665.5
AADAC	NM_001086.2
AADACL2	NM_207365.3
AAGAB	NM_024666.3
AANAT	NM_001088.2
AARS	NM_001605.2
AARS2	NM_020745.2
AASS	NM_005763.3
ABAT	NM_020686.5
ABCA1	NM_005502.3
ABCA10	NM_080282.3
ABCA12	NM_173076.2
ABCA13	NM_152701.3
ABCA2	NM_212533.2
ABCA3	NM_001089.2
ABCA4	NM_000350.2
ABCA7	NM_019112.3
ABCB1	NM_000927.4
ABCB11	NM_003742.2
ABCB4	NM_000443.3
ABCB6	NM_005689.2
ABCB7	NM_004299.3
ABCC1	NM_004996.3
ABCC11	NM_032583.3
ABCC2	NM_000392.3
ABCC3	NM_003786.3
ABCC4	NM_005845.3
ABCC6	NM_001171.5
ABCC8	NM_000352.3
ABCC9	NM_005691.2
ABCD1	NM_000033.3
ABCD3	NM_002858.3
ABCD4	NM_005050.3
ABCG1	NM_207174.1
ABCG2	NM_004827.2
ABCG5	NM_022436.2
ABCG8	NM_022437.2
ABHD12	NM_001042472.2
ABHD5	NM_016006.4
ABI3BP	NM_015429.3
ABO	NM_020469.2
ABP1	NM_001091.2
ACACA	NM_198839.1
ACACB	NM_001093.3
ACAD8	NM_014384.2
ACAD9	NM_014049.4
ACADL	NM_001608.3
ACADM	NM_000016.4
ACADS	NM_000017.2
ACADSB	NM_001609.3
ACADVL	NM_000018.2
ACAN	NM_013227.3
ACAT1	NM_000019.3
ACAT2	NM_005891.2
ACBD5	NM_145698.3
ACBD6	NM_032360.3
ACCS	NM_032592.3
ACE	NM_000789.3
ACHE	NM_000665.3
ACLY	NM_001096.2
ACO2	NM_001098.2
ACOX1	NM_004035.6
ACP5	NM_001111035.1
ACSF3	NM_174917.2
ACSL4	NM_004458.2
ACSL5	NM_016234.3
ACSM2B	NM_182617.3
ACSM3	NM_005622.3
ACTA1	NM_001100.3
ACTA2	NM_001613.2
ACTB	NM_001101.3
ACTC1	NM_005159.4
ACTG1	NM_001614.3
ACTG2	NM_001615.3
ACTN2	NM_001103.2
ACTN3	NM_001104.1
ACTN4	NM_004924.4
ACVR1	NM_001105.4
ACVR1B	NM_004302.4
ACVR2B	NM_001106.3
ACVRL1	NM_000020.2
ACY1	NM_000666.2
ADA	NM_000022.2
ADAM10	NM_001110.2
ADAM12	NM_003474.4
ADAM17	NM_003183.4
ADAM19	NM_033274.3
ADAM22	NM_021723.3
ADAM33	NM_025220.2
ADAM7	NM_003817.2
ADAM9	NM_003816.2
ADAMTS10	NM_030957.2
ADAMTS13	NM_139025.3
ADAMTS16	NM_139056.2
ADAMTS17	NM_139057.2
ADAMTS18	NM_199355.2
ADAMTS2	NM_014244.4
ADAMTSL2	NM_014694.3
ADAMTSL3	NM_207517.2
ADAMTSL4	NM_019032.4
ADAR	NM_001111.4
ADARB1	NM_015833.3
ADC	NM_052998.2
ADCK3	NM_020247.4
ADCY10	NM_018417.4
ADCY3	NM_004036.3
ADCY5	NM_183357.2
ADCY6	NM_015270.3
ADCY8	NM_001115.2
ADCY9	NM_001116.3
ADCYAP1	NM_001099733.1
ADD1	NM_014190.2
ADH1B	NM_000668.4
ADH1C	NM_000669.3
ADH4	NM_000670.3
ADH5	NM_000671.4
ADH7	NM_000673.4
ADIPOQ	NM_004797.3
ADIPOR1	NM_015999.5
ADK	NM_001123.3
ADM	NM_001124.2
ADNP	NM_015339.2
ADORA1	NM_000674.2
ADORA3	NM_000677.3
ADRA1A	NM_000680.2
ADRA2A	NM_000681.3
ADRA2B	NM_000682.5
ADRA2C	NM_000683.3
ADRB1	NM_000684.2
ADRB2	NM_000024.5
ADRB3	NM_000025.2
ADRBK2	NM_005160.3
ADSL	NM_000026.2
ADTRP	NM_001143948.1
AFF2	NM_002025.3
AFG3L2	NM_006796.2
AFP	NM_001134.1
AGA	NM_000027.3
AGER	NM_001136.4
AGGF1	NM_018046.4
AGK	NM_018238.3
AGL	NM_000642.2
AGO2	NM_012154.3
AGPAT2	NM_006412.3
AGPS	NM_003659.3
AGRN	NM_198576.2
AGRP	NM_001138.1
AGT	NM_000029.3
AGTR1	NM_031850.2
AGTR2	NM_000686.4
AGXT	NM_000030.2
AGXT2	NM_031900.3
AGXT2L1	NM_031279.3
AGXT2L2	NM_153373.2
AHCY	NM_000687.2
AHI1	NM_017651.4
AHNAK2	NM_138420.2
AHR	NM_001621.4
AHRR	NM_020731.4
AHSG	NM_001622.2
AHSP	NM_016633.2
AICDA	NM_020661.2
AIF1	NM_004847.3
AIFM1	NM_004208.3
AIMP1	NM_004757.3
AIP	NM_003977.2
AIPL1	NM_014336.3
AIRE	NM_000383.2
AK1	NM_000476.2
AK2	NM_001625.3
ak2b	NM_013411.4
AKAP10	NM_007202.2
AKAP13	NM_007200.3
AKAP5	NM_004857.3
AKAP9	NM_005751.4
AKR1B1	NM_001628.2
AKR1C2	NM_001354.4
AKR1C3	NM_003739.4
AKR1C4	NM_001818.3
AKR1D1	NM_005989.3
AKR7A2	NM_003689.2
AKR7A3	NM_012067.2
AKT1	NM_005163.2
AKT2	NM_001626.3
AKT3	NM_005465.4
ALAD	NM_000031.5
ALAS2	NM_000032.4
ALB	NM_000477.5
ALCAM	NM_001627.3
ALDH16A1	NM_153329.3
ALDH18A1	NM_002860.3
ALDH1A2	NM_003888.3
ALDH2	NM_000690.3
ALDH3A2	NM_000382.2
ALDH4A1	NM_003748.3
ALDH5A1	NM_001080.3
ALDH6A1	NM_005589.2
ALDH7A1	NM_001182.4
ALDOA	NM_000034.2
ALDOB	NM_000035.3
ALG1	NM_019109.4
ALG10B	NM_001013620.3
ALG11	NM_001004127.2
ALG12	NM_024105.3
ALG13	NM_001099922.2
ALG2	NM_033087.3
ALG3	NM_005787.5
ALG6	NM_013339.3
ALG8	NM_024079.4
ALG9	NM_024740.2
ALK	NM_004304.4
ALMS1	NM_015120.4
ALOX12	NM_000697.2
ALOX12B	NM_001139.2
ALOX15	NM_001140.3
ALOX5	NM_000698.2
ALOX5AP	NM_001629.3
ALOXE3	NM_021628.2
ALPL	NM_000478.4
ALS2	NM_020919.3
ALS2CL	NM_147129.3
ALX1	NM_006982.2
ALX3	NM_006492.2
ALX4	NM_021926.3
AMACR	NM_014324.5
AMELX	NM_182680.1
AMH	NM_000479.3
AMHR2	NM_020547.2
AMN	NM_030943.3
AMPD1	NM_000036.2
AMPD3	NM_001025389.1
AMT	NM_000481.3
ANAPC1	NM_022662.2
ANG	NM_001145.4
ANGPT1	NM_001146.3
ANGPTL3	NM_014495.2
ANGPTL4	NM_139314.1
ANGPTL5	NM_178127.4
ANK1	NM_000037.3
ank1tv10	NM_001142445.1
ANK2	NM_001148.4
